Company Name,Date Folder,Status,Address,Phone,Owner,Notes
A & A Body Shop,2026-08-03,Ready to pitch,"1524 Martin St S, Pell City, AL 35128",(205) 338-2790,Raymond Turner,Prior audit PASS 2026-08-06. Unchanged this run.
B&M Mobile Mechanic,2026-08-04,Ready to pitch,"1600 1st Ave N, Pell City, AL 35125",(205) 482-4669,Brandon Fellers,Prior audit PASS. Unchanged this run.
Truss Barber Shop,2026-08-05,Ready to pitch,"610 16th St S #2, Pell City, AL 35128",(205) 338-9852,James Truss / Mario,Prior audit PASS. Unchanged this run.
Daffron Body Shop,2026-08-04,Ready to pitch,"793 Old Coal City Rd, Pell City, AL 35125",(205) 338-7781,Scott (probable),Prior audit PASS. Unchanged this run.
Farley’s Handyman Services,2026-08-04,Ready to pitch,Odenville AL,(205) 767-4694,River Farley,Prior audit PASS. Unchanged this run.
Kustom Quality Work,2026-08-04,Ready to pitch,Odenville AL,(256) 399-2131,,Prior audit PASS. Unchanged this run.
Shine Shanty Automotive Detailing,2026-08-04,Ready to pitch,"1213 Comer Ave, Pell City, AL 35125",(205) 753-3726,Joseph Satterwhite,Prior audit PASS. Unchanged this run.
Lincoln Barber Shop,2026-08-05,Ready to pitch,"47865 US Highway 78, Lincoln, AL 35096",(205) 763-7373,,Prior audit PASS. Unchanged this run.
JMR Detailing LLC,2026-08-05,Ready to pitch,Mobile - 100mi radius Pell City,(561) 373-1129,Josh Rayfield,Prior audit PASS. Unchanged this run.
V Nails Odenville,2026-08-05,Shortlisted,"190 Council Dr, Odenville, AL 35120",(205) 578-9903,,Unchanged this run.
Irrigation Plus,2026-08-08,Ready for audit,"155 Fox Run Lane, Pell City, AL 35125 / also listed 566 County Road 33, Ashville, AL 35953",(205) 753-1662,Chad Bagley,"QUALITY GATE 2026-08-17: Two explicit revision passes. Cross-critique fixed 5 prior weaknesses (missing www/index.html, approximate hours, dual-address silence, generic pitch, duplicate photo URL). Real files written to www/index.html, assets/assets.md, pitch/pitch.md, log/log.md + CRM export. Honest gaps present. Status set to Ready for audit. (Cannot set Ready to pitch.)"
Tamara’s Salon,2026-08-05,Shortlisted,"213 Cogswell Ave, Pell City, AL 35125",(205) 505-0052,,Unchanged this run.
Hot Rod’s Paintless Dent Repair,2026-08-05,Shortlisted,Serving Pell City/Cropwell,(205) 753-5749,,Unchanged this run.
Sugar & Sweets Bakery,2026-07-30,Ready to pitch,"2615 5th Ave N, Pell City, AL 35125",(659) 214-1020,Shenikia Malone-Craig,Prior audit PASS. Unchanged this run.
Stonehouse Antiques & Mercantile,2026-06-29,Ready to pitch,"3440 Martin Street South, Suite 12, Cropwell, AL 35054",(205) 913-4663,Becky Anderson,Prior audit PASS. Unchanged this run.
New Brook Coffeehouse / The Brook Coffeehouse & Event Center,2026-06-30,Ready to pitch,"4204 Martin Street S, Pell City / Cropwell, AL 35054",(205) 243-1085,Family-run,Prior audit PASS. Unchanged this run.
Nails 231,2026-08-11,Ready to pitch,"508 Martin St N, Pell City, AL 35125",(659) 658-4298,Billy & Renea,Prior audit PASS. Unchanged this run.
Jouseph Barbershop,2026-08-06,Shortlisted,"147 Magnolia St S, Lincoln, AL 35096",(256) 589-1677,,Unchanged this run.
Hair Designs By Holly,2026-08-06,Shortlisted,"1021 Martin St S, Pell City, AL 35128",(205) 338-1848,,Unchanged this run.
Creative Touch Salon,2026-08-06,Shortlisted,"2629 Martin St S, Pell City, AL 35128",(205) 965-3339,,Unchanged this run.
Hollis Barber & Beauty,2026-08-06,Shortlisted,"2023 Cogswell Ave, Pell City, AL 35125",(205) 338-3008,,Unchanged this run.
Twice Blessed Boutique & Consignment,2026-07-01,Ready to pitch,"2635 Martin Street S, Pell City, AL 35128",Facebook primary,Kim Isbell,Prior audit PASS. Unchanged this run.
